Unnamed: 0,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,OS compliant Postcode,Admin_county_code,Admin_district_code,Admin_ward_code
173,Lower Mall,6950000,House,5501,6,6,6,Hammersmith,London,W6 9DJ,W6  9DJ,,Hammersmith and Fulham London Boro,Hammersmith Broadway Ward
174,Albert Bridge Road,2750000,House,2675,4,4,4,Battersea,London,SW11 4PX,SW114PX,,Wandsworth London Boro,St. Mary's Park Ward
175,Ridgway,525000,Flat / Apartment,514,2,2,2,Wimbledon,London,SW19 4SX,SW194SX,,Merton London Boro,Hillside Ward
176,Lowndes Square,5450000,Flat / Apartment,1920,3,3,3,,London,SW1X 9HB,SW1X9HB,,City of Westminster London Boro,Knightsbridge and Belgravia Ward
177,Basilica Mews,2325000,New development,2392,4,4,4,,Thurleigh Road,SW12 8UF,SW128UF,,Wandsworth London Boro,Balham Ward
178,Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW,W1G 6QW,,City of Westminster London Boro,Marylebone High Street Ward
179,Ovington Gardens,1750000,Flat / Apartment,714,2,2,2,,London,SW3 1LS,SW3 1LS,,Kensington and Chelsea London Boro,Brompton & Hans Town Ward
180,Cubitt Building,750000,Flat / Apartment,604,1,1,1, Chelsea,London,SW1W 8QL,SW1W8QL,,City of Westminster London Boro,Churchill Ward
181,Iverna Court,3150000,Flat / Apartment,1755,4,4,4,,London,W8 6TS,W8  6TS,,Kensington and Chelsea London Boro,Abingdon Ward
182,Selborne Villas,1150000,House,2357,4,4,4, Esher,Surrey,KT10 9UD,KT109UD,Surrey County,Elmbridge District (B),Esher Ward
183,Waleorde Road,575000,Flat / Apartment,800,2,2,2,,London,SE17 1GG,SE171GG,,Southwark London Boro,North Walworth Ward
184,Louisville Road,1250000,House,2475,6,6,6,,London,SW17 8RU,SW178RU,,Wandsworth London Boro,Bedford Ward
185,Langroyd Road,1150000,House,1703,4,4,4,,London,SW17 7PL,SW177PL,,Wandsworth London Boro,Nightingale Ward
186,Dance Square,650000,Flat / Apartment,584,1,1,1, Clerkenwell,London,EC1V 3AN,EC1V3AN,,Islington London Boro,Bunhill Ward
187,Cranbrook Road,1295000,House,1356,4,4,4,Chiswick,London,W4 2LH,W4  2LH,,Hounslow London Boro,Chiswick Homefields Ward
